dev-foa,2019
baseline,20.0,65.1,0.57,58.0
Conv-Residual,19.9,66.9,0.54,60.3
cSE,20.9,65.3,0.54,62.3
sSE,20.2,66.9,0.54,60.7
scSE,20.9,67.9,0.53,62.1
Conv-Residual,19.9,66.9,0.54,60.3
ratio=1,21.1,64.6,0.57,57.3
ratio=2,21.1,65.7,0.55,60.4
ratio=4,19.7,66.5,0.53,61.3
ratio=8,20.0,64.6,0.54,60.1
ratio=16,20.7,64.7,0.57,58.9
dev-foa,2020
baseline,23.8,57.8,0.75,35.2
Conv-Residual,21.9,60.2,0.72,37.3
cSE,24.3,62.2,0.75,35.6
sSE,23.7,60.5,0.74,36.2
scSE,24.6,61.8,0.74,35.3
Conv-Residual,21.9,60.2,0.72,37.3
ratio=1,23.7,57.1,0.76,32.8
ratio=2,24.9,60.3,0.76,33.4
ratio=4,23.2,61.3,0.71,38.6
ratio=8,23.3,60.1,0.73,36.3
ratio=16,24.1,58.8,0.77,34.0
dev-mic,2019
baseline,21.2,64.8,0.54,61.0
Conv-Residual,18.5,67.2,0.51,63.9
cSE,19.5,66.9,0.54,60.3
sSE,21.5,65.1,0.57,59.0
scSE,21.1,66.9,0.55,59.7
dev-mic,2020
baseline,25.4,60.7,0.75,35.6
Conv-Residual,21.8,63.8,0.68,42.9
cSE,23.4,60.1,0.71,38.1
sSE,26.3,58.9,0.77,32.9
scSE,24.2,59.6,0.73,36.7
eval-foa,2019
baseline,20.0,67.0,0.53,61.0
Conv-Residual,18.9,68.5,0.51,62.9
cSE,18.9,70.5,0.49,63.7
sSE,20.3,68.7,0.53,61.8
scSE,19.2,68.8,0.51,63.7
Conv-Residual,18.9,68.5,0.51,62.9
ratio=1,19.8,66.7,0.54,61.5
ratio=2,20.0,68.3,0.51,64.2
ratio=4,18.5,68.6,0.48,65.6
ratio=8,18.6,68.0,0.51,63.6
ratio=16,19.7,69.5,0.51,63.4
eval-foa,2020
baseline,22.0,60.8,0.70,39.0
Conv-Residual,20.0,62.8,0.65,44.3
cSE,21.2,63.7,0.67,42.1
sSE,23.8,61.7,0.72,38.0
scSE,20.4,63.6,0.66,43.7
Conv-Residual,20.0,62.8,0.65,44.3
ratio=1,23.6,61.3,0.72,37.6
ratio=2,21.9,64.1,0.69,41.4
ratio=4,20.2,65.4,0.65,44.8
ratio=8,20.9,63.4,0.67,43.7
ratio=16,22.2,63.4,0.70,39.6
eval-mic,2019
baseline,18.9,67.8,0.52,61.6
Conv-Residual,18.0,68.9,0.49,65.3
cSE,18.1,68.1,0.49,65.1
sSE,17.9,67.8,0.51,63.7
scSE,17.2,68.4,0.48,66.0
eval-mic,2020
baseline,23.6,61.5,0.69,40.6
Conv-Residual,21.4,65.0,0.64,45.5
cSE,21.1,64.9,0.65,45.5
sSE,21.6,63.7,0.67,43.2
scSE,20.0,65.8,0.63,47.0
